SSC_CODE_2016,SSC_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RATIO,PERCENTAGE
22689,Warrandyte,211,Melbourne - Outer East,1,100
22690,Warrandyte South,211,Melbourne - Outer East,1,100
22691,Warranwood,211,Melbourne - Outer East,1,100
22692,Warrayure,217,Warrnambool and South West,1,100
22693,Warrenbayne,204,Hume,1,100
22694,Warrenheip,201,Ballarat,1,100
22695,Warrenmang,201,Ballarat,1,100
22696,Warrion,217,Warrnambool and South West,1,100
22697,Warrnambool,217,Warrnambool and South West,1,100
22698,Warrock,217,Warrnambool and South West,1,100
22699,Warrong,217,Warrnambool and South West,1,100
22700,Wartook,215,North West,1,100
22701,Watchem,215,North West,1,100
22702,Watchem West,215,North West,1,100
22703,Watchupga,215,North West,1,100
22704,Waterford Park,209,Melbourne - North East,1,100
22705,Waterholes,205,Latrobe - Gippsland,1,100
22706,Waterloo (Vic.),201,Ballarat,1,100
22707,Waterways,208,Melbourne - Inner South,1,100
22708,Watsonia,209,Melbourne - North East,1,100
22709,Watsonia North,209,Melbourne - North East,1,100
22710,Watsons Creek (Vic.),209,Melbourne - North East,1,100
22711,Wattle Bank,205,Latrobe - Gippsland,1,100
22712,Wattle Creek,215,North West,1,100
22713,Wattle Flat (Vic.),201,Ballarat,1,100
22714,Wattle Glen,209,Melbourne - North East,1,100
22715,Wattle Hill (Vic.),217,Warrnambool and South West,1,100
22716,Waubra,201,Ballarat,1,100
22717,Waurn Ponds,203,Geelong,1,100
22718,Waygara,205,Latrobe - Gippsland,1,100
22719,Weatherboard,201,Ballarat,1,100
22720,Wedderburn (Vic.),202,Bendigo,1,100
22721,Wedderburn Junction,202,Bendigo,1,100
22722,Wee Wee Rup,215,North West,1,100
22723,Weeaproinah,217,Warrnambool and South West,1,100
22724,Weering,217,Warrnambool and South West,1,100
22725,Weerite,217,Warrnambool and South West,1,100
22726,Wehla,202,Bendigo,1,100
22727,Wellsford,202,Bendigo,1,100
22728,Welshmans Reef,202,Bendigo,1,100
22729,Welshpool (Vic.),205,Latrobe - Gippsland,1,100
22730,Wemen,215,North West,1,100
22731,Wendouree,201,Ballarat,1,100
22732,Wensleydale,203,Geelong,1,100
22733,Wentworth (Vic.),205,Latrobe - Gippsland,1,100
22734,Werneth,201,Ballarat,0.7758621,77.5862069
22734,Werneth,217,Warrnambool and South West,0.2241379,22.4137931
22735,Werona,201,Ballarat,0.2083333,20.8333333
22735,Werona,202,Bendigo,0.7916667,79.1666667
22736,Werribee,213,Melbourne - West,1,100
22737,Werribee South,213,Melbourne - West,1,100
22738,Werrimull,215,North West,1,100
22739,Wesburn,211,Melbourne - Outer East,1,100
22740,West Bendigo,202,Bendigo,1,100
22741,West Creek,205,Latrobe - Gippsland,1,100
22742,West Footscray,213,Melbourne - West,1,100
22743,West Melbourne,206,Melbourne - Inner,1,100
22744,West Wodonga,204,Hume,1,100
22745,Westbury (Vic.),205,Latrobe - Gippsland,1,100
22746,Westby,215,North West,1,100
22747,Westmeadows,210,Melbourne - North West,1,100
22748,Westmere,215,North West,1,100
22749,Whanregarwen,204,Hume,1,100
22750,Wharparilla,216,Shepparton,1,100
22751,Wheatsheaf,201,Ballarat,1,100
22752,Wheelers Hill,212,Melbourne - South East,1,100
22753,Whipstick,202,Bendigo,1,100
22754,Whirily,215,North West,1,100
22755,White Hills (Vic.),202,Bendigo,1,100
22756,Whiteheads Creek,204,Hume,1,100
22757,Whitelaw,205,Latrobe - Gippsland,1,100
22758,Whitfield (Vic.),204,Hume,1,100
22759,Whitlands,204,Hume,1,100
22760,Whittington,203,Geelong,1,100
22761,Whittlesea,209,Melbourne - North East,1,100
22762,Whoorel,217,Warrnambool and South West,1,100
22763,Whorouly,204,Hume,1,100
22764,Whorouly East,204,Hume,1,100
22765,Whorouly South,204,Hume,1,100
22766,Whroo,204,Hume,0.8837203,88.3720314
22766,Whroo,216,Shepparton,0.1162797,11.6279686
22767,Wickliffe,215,North West,1,100
22768,Wilby,216,Shepparton,1,100
22769,Wild Dog Valley (Vic.),205,Latrobe - Gippsland,1,100
22770,Wildwood,210,Melbourne - North West,1,100
22771,Wilkur,215,North West,1,100
22772,Willangie,215,North West,1,100
22773,Willatook,217,Warrnambool and South West,1,100
22774,Willaura,215,North West,1,100
22775,Willaura North,215,North West,1,100
22776,Willenabrina,215,North West,1,100
22777,Williams Landing,213,Melbourne - West,1,100
22778,Williamstown (Vic.),213,Melbourne - West,1,100
22779,Williamstown North,213,Melbourne - West,1,100
